
{ platform:iOS Simulator, arch:arm64, id:5F48FA10-F576-4E6A-BADC-9E1FA0735F6D, OS:26.2, name:iPad mini (A17 Pro) }
{ platform:iOS Simulator, arch:x86_64, id:5F48FA10-F576-4E6A-BADC-9E1FA0735F6D, OS:26.2, name:iPad mini (A17 Pro) }
{ platform:iOS Simulator, arch:arm64, id:B54345BC-8476-4205-AC17-3045FEBF52F7, OS:18.5, name:iPhone 16 }
{ platform:iOS Simulator, arch:x86_64, id:B54345BC-8476-4205-AC17-3045FEBF52F7, OS:18.5, name:iPhone 16 }
{ platform:iOS Simulator, arch:arm64, id:4CAE0F50-248B-4738-A684-2B454F8B1323, OS:18.6, name:iPhone 16 }
{ platform:iOS Simulator, arch:x86_64, id:4CAE0F50-248B-4738-A684-2B454F8B1323, OS:18.6, name:iPhone 16 }
{ platform:iOS Simulator, arch:arm64, id:F856CD82-FA82-45D8-A20E-064B603DCED5, OS:26.0.1, name:iPhone 16 }
{ platform:iOS Simulator, arch:x86_64, id:F856CD82-FA82-45D8-A20E-064B603DCED5, OS:26.0.1, name:iPhone 16 }
{ platform:iOS Simulator, arch:arm64, id:F210995D-26CC-486F-878A-DA93D426C447, OS:26.1, name:iPhone 16 }
{ platform:iOS Simulator, arch:x86_64, id:F210995D-26CC-486F-878A-DA93D426C447, OS:26.1, name:iPhone 16 }
{ platform:iOS Simulator, arch:arm64, id:7CE5C8A0-568A-4D13-A36E-99B1B0AF37A6, OS:26.2, name:iPhone 16 }
{ platform:iOS Simulator, arch:x86_64, id:7CE5C8A0-568A-4D13-A36E-99B1B0AF37A6, OS:26.2, name:iPhone 16 }
{ platform:iOS Simulator, arch:arm64, id:0081902C-B5A7-4B68-B499-F7CFF4CFAF4E, OS:18.5, name:iPhone 16 Plus }
{ platform:iOS Simulator, arch:x86_64, id:0081902C-B5A7-4B68-B499-F7CFF4CFAF4E, OS:18.5, name:iPhone 16 Plus }
{ platform:iOS Simulator, arch:arm64, id:7A1A3487-CB4D-4B98-92BD-88274D775D30, OS:18.6, name:iPhone 16 Plus }
{ platform:iOS Simulator, arch:x86_64, id:7A1A3487-CB4D-4B98-92BD-88274D775D30, OS:18.6, name:iPhone 16 Plus }
{ platform:iOS Simulator, arch:arm64, id:D7FB81B8-BA3A-4507-871D-20B093B71F50, OS:26.0.1, name:iPhone 16 Plus }
{ platform:iOS Simulator, arch:x86_64, id:D7FB81B8-BA3A-4507-871D-20B093B71F50, OS:26.0.1, name:iPhone 16 Plus }
{ platform:iOS Simulator, arch:arm64, id:574B7F3C-1FF1-4FA5-A8BA-0F99DB9D84BE, OS:26.1, name:iPhone 16 Plus }
{ platform:iOS Simulator, arch:x86_64, id:574B7F3C-1FF1-4FA5-A8BA-0F99DB9D84BE, OS:26.1, name:iPhone 16 Plus }
{ platform:iOS Simulator, arch:arm64, id:F8A59A85-4293-4964-AEDE-AAD74E110F66, OS:26.2, name:iPhone 16 Plus }
{ platform:iOS Simulator, arch:x86_64, id:F8A59A85-4293-4964-AEDE-AAD74E110F66, OS:26.2, name:iPhone 16 Plus }
{ platform:iOS Simulator, arch:arm64, id:54EB901A-0CBC-49BA-A9D4-EFB6A88ABEBE, OS:18.5, name:iPhone 16 Pro }
{ platform:iOS Simulator, arch:x86_64, id:54EB901A-0CBC-49BA-A9D4-EFB6A88ABEBE, OS:18.5, name:iPhone 16 Pro }
{ platform:iOS Simulator, arch:arm64, id:B6925D84-723C-4966-9F12-5570B9217301, OS:18.6, name:iPhone 16 Pro }
{ platform:iOS Simulator, arch:x86_64, id:B6925D84-723C-4966-9F12-5570B9217301, OS:18.6, name:iPhone 16 Pro }
{ platform:iOS Simulator, arch:arm64, id:77F8B1A2-F39D-4184-AB5F-45AF8B4C7C2D, OS:26.0.1, name:iPhone 16 Pro }
{ platform:iOS Simulator, arch:x86_64, id:77F8B1A2-F39D-4184-AB5F-45AF8B4C7C2D, OS:26.0.1, name:iPhone 16 Pro }
{ platform:iOS Simulator, arch:arm64, id:375ED6CF-5B88-4D42-88EF-7CD8E4CB187F, OS:26.1, name:iPhone 16 Pro }
{ platform:iOS Simulator, arch:x86_64, id:375ED6CF-5B88-4D42-88EF-7CD8E4CB187F, OS:26.1, name:iPhone 16 Pro }
{ platform:iOS Simulator, arch:arm64, id:8771F174-9D44-4B14-A464-C88F3524493B, OS:26.2, name:iPhone 16 Pro }
{ platform:iOS Simulator, arch:x86_64, id:8771F174-9D44-4B14-A464-C88F3524493B, OS:26.2, name:iPhone 16 Pro }
{ platform:iOS Simulator, arch:arm64, id:F301093B-DA36-4DA1-95A3-4D609641C066, OS:18.5, name:iPhone 16 Pro Max }
{ platform:iOS Simulator, arch:x86_64, id:F301093B-DA36-4DA1-95A3-4D609641C066, OS:18.5, name:iPhone 16 Pro Max }
{ platform:iOS Simulator, arch:arm64, id:F5DFD3B0-6BD3-46BF-8C1B-E9B272A96F78, OS:18.6, name:iPhone 16 Pro Max }
{ platform:iOS Simulator, arch:x86_64, id:F5DFD3B0-6BD3-46BF-8C1B-E9B272A96F78, OS:18.6, name:iPhone 16 Pro Max }
{ platform:iOS Simulator, arch:arm64, id:A5D90CC6-ECD4-4270-821A-4FD30B78DA76, OS:26.0.1, name:iPhone 16 Pro Max }
{ platform:iOS Simulator, arch:x86_64, id:A5D90CC6-ECD4-4270-821A-4FD30B78DA76, OS:26.0.1, name:iPhone 16 Pro Max }
{ platform:iOS Simulator, arch:arm64, id:6372A1A8-EAE2-4736-A9F1-0E2DEAEE06C8, OS:26.1, name:iPhone 16 Pro Max }
{ platform:iOS Simulator, arch:x86_64, id:6372A1A8-EAE2-4736-A9F1-0E2DEAEE06C8, OS:26.1, name:iPhone 16 Pro Max }
{ platform:iOS Simulator, arch:arm64, id:8713A7DE-FFC8-44B0-B62C-DB246E523B39, OS:26.2, name:iPhone 16 Pro Max }
{ platform:iOS Simulator, arch:x86_64, id:8713A7DE-FFC8-44B0-B62C-DB246E523B39, OS:26.2, name:iPhone 16 Pro Max }
{ platform:iOS Simulator, arch:arm64, id:B5E09CD2-CC8C-4DC4-B50F-7C3B103B7458, OS:18.5, name:iPhone 16e }
{ platform:iOS Simulator, arch:x86_64, id:B5E09CD2-CC8C-4DC4-B50F-7C3B103B7458, OS:18.5, name:iPhone 16e }
{ platform:iOS Simulator, arch:arm64, id:E30FC7A6-1092-45CA-8C0B-8B1866B4A3BA, OS:18.6, name:iPhone 16e }
{ platform:iOS Simulator, arch:x86_64, id:E30FC7A6-1092-45CA-8C0B-8B1866B4A3BA, OS:18.6, name:iPhone 16e }
{ platform:iOS Simulator, arch:arm64, id:0CFB924D-A434-46EC-97D8-C2588E2BB378, OS:26.0.1, name:iPhone 16e }
{ platform:iOS Simulator, arch:x86_64, id:0CFB924D-A434-46EC-97D8-C2588E2BB378, OS:26.0.1, name:iPhone 16e }
{ platform:iOS Simulator, arch:arm64, id:36C7306F-AE16-4DF9-804B-7326D497BB9D, OS:26.1, name:iPhone 16e }
{ platform:iOS Simulator, arch:x86_64, id:36C7306F-AE16-4DF9-804B-7326D497BB9D, OS:26.1, name:iPhone 16e }
